,age,Weidner_i0,Hannum_i0,PhotoAge
X2080,28,36.9849853256525,41.86650054001,73.963152825055
X2081,54,71.8788313131845,81.10511364855,74.536495554183
X2082,59,61.9722869885726,70.71337143667,73.979523861573
X2084,56,58.8012113517992,65.5088162999,74.791697733293
X2085,50,53.0115200846745,61.74215554496,74.022496260772
X2086,30,34.0533291414087,36.92623594776,74.040359201919
X2089,50,50.6482063654218,53.86175639548,75.04983963568
X2090,47,55.1286235282003,53.11230414982,74.379652086431
X2091,47,53.8419602189733,58.77784256081,74.54889779086
X2092,33,38.4011938862066,38.67908289398,75.067259334476
X2093,38,39.9510088155146,51.52409022762,74.383016756635
X2094,35,33.0554753041617,45.97336874753,74.991463258162
X2095,47,55.737978470745,53.95668284373,74.814657174087
X2096,80,83.7856462939883,86.373026868,73.551288985334
X3012,86,79.1936336161639,85.54312564154,74.88571057157
X3013,71,67.9066698614055,70.44861078508,74.52152543358
X3014,77,68.0707151299262,73.55347007722,75.107761916343
X3015,67,69.7508494958353,72.28117892462,74.0510075074726
X3016,84,78.2253042327673,85.07291497325,74.693492413671
X3017,80,80.3787615127272,80.97356061593,76.254183835118
X3021,70,70.243533320742,71.32895561033,74.325940154785
X3022,67,64.5663492128006,76.12822173054,74.083066859244
X3023,63,60.5618625410242,66.37274558034,74.32033273869
X3024,70,75.343915007112,81.06627366657,75.342675908879
X3025,56,69.5740716402495,66.93087589336,75.155260952279
X3026,67,67.393863341422,70.39361064355,75.551730731532
X3027,70,69.011387397711,72.18888785087,74.038284356326
X3028,70,71.4366549145743,69.88860461128,75.724727314514
X3031,74,80.4493127161291,78.23875013683,73.764802639097
X3032,73,71.0630561571741,81.17061405041,72.52366529839
X3033,77,81.6482472420749,82.83628740253,72.887337930509
X3034,80,83.3774311041255,89.08728585022,74.40166824649
X3035,66,75.5263716705021,67.4549151708,74.242124605299
X3036,85,85.097421716289,96.0936176556,72.92823909249
X3037,76,77.8181376782582,83.89558552541,73.886212080157
X3038,78,72.6647962283903,74.72292994682,75.7406230929625
X3040,82,85.8196855343482,87.04282547624,74.95845209778
X3041,76,68.4830212906102,73.99617650859,74.73117599208
X3043,71,68.6003379459502,74.69785226713,74.766239366705
X3046,82,75.4771082153823,80.49906053977,75.080252328312
X3047,83,72.8448753868236,87.48953432415,74.84505608723
X3049,79,75.421386840728,79.97696459646,74.093739399541
X3050,75,73.7741901113428,81.95071289424,74.127222283298
X3051,68,68.2174269460911,77.51908654023,73.518766471432
X3052,64,60.5890754778131,68.20261444223,73.59165657419
X3053,70,70.9361575220465,76.85762008891,71.9012500015
X3056,92,91.4471691958434,95.29551317949,73.33712439864
X3058,74,80.3438372450515,74.8659610211,76.821422351581
X3059,69,71.0905579289325,73.85385360782,73.568017361637
X3060,80,82.6641535717809,82.40124255822,73.585238958451
X3061,63,57.421137432407,62.58789026854,74.161340376499
X3062,77,84.8291296830678,85.98282145223,73.58250637047
X3063,81,80.5348223037146,83.07887164279,76.031355054567
X3064,82,73.5463523737956,82.81559506872,75.10027586904
X3065,69,66.8423617237209,71.08083947111,73.78628320229
X3066,73,71.0906750677573,78.91573970225,74.848697631807
X3067,66,78.2013923929011,76.07740895564,75.190341411011
X3068,87,91.0794277716937,90.38566083674,73.86308240191
X3069,68,67.1286838390603,73.67821854986,73.055870335601
X3070,69,69.5579886400588,74.27260283875,74.79348651039
X3071,76,74.6076851883754,76.72633406678,73.71203946953
X3072,69,71.8472482145301,70.91075585656,74.22064726387
X3073,81,77.2408555916339,88.63201418768,74.414079005619
X3074,71,62.803674423538,70.67088679483,75.528814949299
X3075,71,74.159709420057,74.13024055226,73.986760931818
X3077,75,76.9276553283709,80.18811677238,73.727129136038
X3078,60,57.8171217131055,65.23522682642,73.795418276427
X3079,77,77.4957741105523,79.40352133546,72.39626537579
X3080,85,75.5585843899519,89.7712362741,74.007608955199
X3082,70,67.1787512315726,71.60818155115,75.180790438247
X3083,62,57.3516733692418,62.67066473455,74.766115773069
X3084,69,65.6776255421343,74.61663450847,74.592208275951
X3085,73,73.797269582418,79.918358317194,74.34501034432
X3086,73,71.4947854114256,76.84914634595,74.312633759639
X3087,74,70.4941737511054,79.852764204,73.726123391221
X3088,73,72.5620508326836,77.80839351021,74.834873471955
X3089,86,85.5778966110229,91.36734433477,74.504751424152
X3090,83,76.9880076204692,84.39882732451,72.781961173476
X3091,76,83.1103169200769,83.31835080583,74.199588971379
X3092,75,71.5149390195552,78.84032732945,73.620692159815
X3093,64,60.5015920429694,66.57289721111,74.306570503625
X3094,67,68.0000682214174,67.72461499662,75.420543398429
X3096,88,81.5090987378414,88.3270317597,73.819539766735
X5001,48,52.8586996565209,61.12896439117,74.824039492157
X5002,44,49.0502101627212,51.32499822864,74.016112338745
X5004,48,53.1520907286728,57.75490557781,74.6626424661727
X5005,62,64.563129919048,69.20704595335,75.492334460709
