	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
	f6hyper_in_lamina	f6hypo_in_lamina	f8hyper_in_lamina	f8hypo_in_lamina	fibroblasts_f6_hyper	fibroblasts_f6_hypo	fibroblasts_f8_hyper	fibroblasts_f8_hypo	koch_senescence_hyper	koch_senescence_hyper_in_lamina	koch_senescence_hypo	koch_senescence_hypo_in_lamina
MA0055.1.Myf	0.466054925674	0.00989330024746	0.0738041002445	0.986032287592	0.0327327319534	0.00302102913199	0.0465393970009	0.870144975928	0.861768092513	1.0	0.949988623866	0.918890430836
MA0156.1.FEV	0.544629227132	0.998999563287	1.0	0.996308166953	0.981236564458	0.999798153228	0.976691423787	0.999706504164	0.999999999948	0.999999999998	0.947111552605	0.975315273143
UP00017_2_Nkx3-1_secondary	0.248724614744	0.999999999956	1.0	0.999999999981	0.631540369447	0.975720958611	0.82022857179	0.89853389558	0.999999999924	1.0	0.999999999993	1.0
MA0111.1.Spz1	0.0192280468963	0.0821453655114	0.820489350299	0.0705749998643	2.94912059512e-07	0.399174860805	0.784741637087	4.35541329812e-05	0.762447067299	0.999999999998	0.600601792176	0.980051432221
UP00106_1_Vax2_3500.1	1.0	0.999999999924	1.0	0.916249500203	0.981779307021	0.997966699826	1.0	0.990652976502	0.99999999996	0.999999999998	0.999999999976	1.0
UP00051_1_Sox8_primary	0.916571415326	0.99964661288	0.881523775118	0.992817326152	0.999996398621	0.999999093412	0.999988529342	0.999991982046	0.99999999999	0.999999999999	1.0	0.999999999989
UP00257_1_Shox2_2641.2	1.0	0.999999999938	1.0	0.999999999981	0.987560479753	0.999999999731	0.999999999987	1.0	0.999999999982	1.0	0.999999999987	0.999999999996
UP00067_1_Lef1_primary	0.228852595156	0.99071977196	0.999999999999	1.0	0.577219064377	0.995954427687	0.952882978661	0.992765969686	0.999999999982	1.0	0.999999999997	0.999999999996
MA0041.1.Foxd3	0.998663583479	0.999999999947	0.999870016124	0.980931372809	0.999999998454	0.999999999891	1.0	0.999995376696	0.999999999936	0.999999999998	0.999999999914	0.999999982702
UP00071_1_Sox21_primary	0.999999999998	0.999999796499	0.987690790647	0.999941765005	0.999999443409	0.999999999825	0.99999701402	0.999999442013	0.999999999975	0.999999999998	0.999999999991	0.999999999993
UP00004_1_Sox14_primary	1.0	0.999996881877	0.975922997179	0.999999999994	0.999984278223	0.999999999643	0.999660681627	0.99999877934	0.999999999948	0.999999999998	0.999999999984	0.999999999997
UP00206_1_Hoxb7_3953.1	1.0	0.999413893659	1.0	1.0	0.99815611357	0.999395103043	0.98206505539	0.973567442907	0.937097294228	1.0	0.987583400175	0.91632284876
UP00075_1_Sox15_primary	0.999999999999	0.999530394263	1.0	0.924799042196	0.999846082658	0.999126557188	0.99960077899	0.996544525331	0.999999999956	0.999999999998	1.0	0.999999999987
UP00226_1_Mrg1_2246.2	0.99999999999	0.700951189371	0.576095522745	0.999999999979	0.51880404595	0.731286059996	0.944844017832	1.0	0.999999999978	1.0	0.999999999983	0.999999999999
UP00023_1_Sox30_primary	1.0	0.996312506752	0.865228402844	0.84014838448	0.999794996314	0.994246202654	0.982989561604	0.80484000044	0.999999999957	1.0	0.999999999972	0.999999999999
MA0019.1.Ddit3::Cebpa	0.836981194279	0.999795061212	0.221071921653	0.566340412005	0.55388034244	0.963743769579	0.457869951857	0.00944345350145	0.999999999967	1.0	0.94488976359	1.0
UP00244_1_Tlx2_3498.2	0.999999999996	0.999999999968	1.0	0.996499725287	0.999999996553	0.999999999778	0.999999999989	0.99995521821	0.999999999951	0.999999999998	0.999999999995	0.999999999994
UP00159_1_Six2_2307.2	0.999999999996	0.960914548936	0.379157211458	0.802308252329	0.458231037085	0.953220317601	0.937041830961	0.315286359898	0.999999999934	1.0	0.999999999987	1.0
