	TF	id	name	symbol	GID
UP00246_1_Hoxa11_2218.1	UP00246_1_Hoxa11_2218.1	UP00246_1	Hoxa11	Hoxa11	15396
UP00183_1_Hoxa13_3126.1	UP00183_1_Hoxa13_3126.1	UP00183_1	Hoxa13	Hoxa13	15398
UP00174_1_Hoxa2_3079.1	UP00174_1_Hoxa2_3079.1	UP00174_1	Hoxa2	Hoxa2	15399
UP00391_3_Hoxa3_2783.2	UP00391_3_Hoxa3_2783.2	UP00391_3	Hoxa3	Hoxa3	15400
UP00196_1_Hoxa4_3426.1	UP00196_1_Hoxa4_3426.1	UP00196_1	Hoxa4	Hoxa4	15401
UP00189_1_Hoxa5_3415.1	UP00189_1_Hoxa5_3415.1	UP00189_1	Hoxa5	Hoxa5	15402
UP00182_1_Hoxa6_1040.1	UP00182_1_Hoxa6_1040.1	UP00182_1	Hoxa6	Hoxa6	15403
UP00164_1_Hoxa7_2668.2	UP00164_1_Hoxa7_2668.2	UP00164_1	Hoxa7	Hoxa7	15404
UP00164_2_Hoxa7_3750.1	UP00164_2_Hoxa7_3750.1	UP00164_2	Hoxa7	Hoxa7	15404
UP00213_1_Hoxa9_2622.2	UP00213_1_Hoxa9_2622.2	UP00213_1	Hoxa9	Hoxa9	15405
UP00134_1_Hoxb13_3479.1	UP00134_1_Hoxb13_3479.1	UP00134_1	Hoxb13	Hoxb13	15408
UP00137_1_Hoxb3_1720.2	UP00137_1_Hoxb3_1720.2	UP00137_1	Hoxb3	Hoxb3	15410
UP00144_1_Hoxb4_2627.1	UP00144_1_Hoxb4_2627.1	UP00144_1	Hoxb4	Hoxb4	15412
UP00214_1_Hoxb5_3122.2	UP00214_1_Hoxb5_3122.2	UP00214_1	Hoxb5	Hoxb5	15413
UP00259_1_Hoxb6_3428.2	UP00259_1_Hoxb6_3428.2	UP00259_1	Hoxb6	Hoxb6	15414
UP00206_1_Hoxb7_3953.1	UP00206_1_Hoxb7_3953.1	UP00206_1	Hoxb7	Hoxb7	15415
UP00263_1_Hoxb8_3780.2	UP00263_1_Hoxb8_3780.2	UP00263_1	Hoxb8	Hoxb8	15416
UP00207_1_Hoxb9_3413.1	UP00207_1_Hoxb9_3413.1	UP00207_1	Hoxb9	Hoxb9	15417
UP00245_1_Hoxc10_2779.2	UP00245_1_Hoxc10_2779.2	UP00245_1	Hoxc10	Hoxc10	209448
UP00235_1_Hoxc11_3718.2	UP00235_1_Hoxc11_3718.2	UP00235_1	Hoxc11	Hoxc11	109663
UP00135_1_Hoxc12_3480.1	UP00135_1_Hoxc12_3480.1	UP00135_1	Hoxc12	Hoxc12	15421
UP00173_1_Hoxc13_3127.1	UP00173_1_Hoxc13_3127.1	UP00173_1	Hoxc13	Hoxc13	15422
UP00113_1_Hoxc4_3491.1	UP00113_1_Hoxc4_3491.1	UP00113_1	Hoxc4	Hoxc4	15423
UP00252_1_Hoxc5_2630.2	UP00252_1_Hoxc5_2630.2	UP00252_1	Hoxc5	Hoxc5	15424
UP00260_1_Hoxc6_3954.2	UP00260_1_Hoxc6_3954.2	UP00260_1	Hoxc6	Hoxc6	15425
UP00242_1_Hoxc8_3429.2	UP00242_1_Hoxc8_3429.2	UP00242_1	Hoxc8	Hoxc8	15426
UP00197_1_Hoxc9_2367.2	UP00197_1_Hoxc9_2367.2	UP00197_1	Hoxc9	Hoxc9	15427
UP00140_1_Hoxd1_3448.1	UP00140_1_Hoxd1_3448.1	UP00140_1	Hoxd1	Hoxd1	15429
UP00121_1_Hoxd10_2368.2	UP00121_1_Hoxd10_2368.2	UP00121_1	Hoxd10	Hoxd10	15430
UP00117_1_Hoxd11_3873.1	UP00117_1_Hoxd11_3873.1	UP00117_1	Hoxd11	Hoxd11	15431
UP00177_1_Hoxd12_3481.1	UP00177_1_Hoxd12_3481.1	UP00177_1	Hoxd12	Hoxd12	15432
UP00180_1_Hoxd13_2356.1	UP00180_1_Hoxd13_2356.1	UP00180_1	Hoxd13	Hoxd13	15433
UP00241_1_Hoxd3_1742.2	UP00241_1_Hoxd3_1742.2	UP00241_1	Hoxd3	Hoxd3	15434
UP00168_1_Hoxd8_2644.1	UP00168_1_Hoxd8_2644.1	UP00168_1	Hoxd8	Hoxd8	15437
UP00124_1_Ipf1_3815.1	UP00124_1_Ipf1_3815.1	UP00124_1	Ipf1	Pdx1	18609
UP00236_1_Irx2_0900.3	UP00236_1_Irx2_0900.3	UP00236_1	Irx2	Irx2	16372
UP00223_1_Irx3_0920.1	UP00223_1_Irx3_0920.1	UP00223_1	Irx3	Irx3	16373
UP00223_2_Irx3_2226.1	UP00223_2_Irx3_2226.1	UP00223_2	Irx3	Irx3	16373
UP00194_1_Irx4_2242.3	UP00194_1_Irx4_2242.3	UP00194_1	Irx4	Irx4	50916
UP00250_1_Irx5_2385.1	UP00250_1_Irx5_2385.1	UP00250_1	Irx5	Irx5	54352
UP00150_1_Irx6_2623.2	UP00150_1_Irx6_2623.2	UP00150_1	Irx6	Irx6	64379
UP00170_1_Isl2_3430.1	UP00170_1_Isl2_3430.1	UP00170_1	Isl2	Isl2	104360
UP00243_1_Isx_3445.1	UP00243_1_Isx_3445.1	UP00243_1	Isx	Isx	71597
UP00120_1_Lbx2_3869.2	UP00120_1_Lbx2_3869.2	UP00120_1	Lbx2	Lbx2	16815
UP00262_1_Lhx1_2240.2	UP00262_1_Lhx1_2240.2	UP00262_1	Lhx1	Lhx1	16869
UP00115_1_Lhx2_0953.2	UP00115_1_Lhx2_0953.2	UP00115_1	Lhx2	Lhx2	16870
UP00130_1_Lhx3_3431.1	UP00130_1_Lhx3_3431.1	UP00130_1	Lhx3	Lhx3	16871
UP00261_1_Lhx4_1719.2	UP00261_1_Lhx4_1719.2	UP00261_1	Lhx4	Lhx4	16872
UP00212_1_Lhx5_2279.1	UP00212_1_Lhx5_2279.1	UP00212_1	Lhx5	Lhx5	16873
UP00256_1_Lhx6_2272.1	UP00256_1_Lhx6_2272.1	UP00256_1	Lhx6	Lhx6	16874
UP00256_2_Lhx6_3432.1	UP00256_2_Lhx6_3432.1	UP00256_2	Lhx6	Lhx6	16874
UP00184_1_Lhx8_2247.2	UP00184_1_Lhx8_2247.2	UP00184_1	Lhx8	Lhx8	16875
UP00175_1_Lhx9_3492.1	UP00175_1_Lhx9_3492.1	UP00175_1	Lhx9	Lhx9	16876
UP00188_1_Lmx1a_2238.2	UP00188_1_Lmx1a_2238.2	UP00188_1	Lmx1a	Lmx1a	110648
UP00169_1_Lmx1b_3433.2	UP00169_1_Lmx1b_3433.2	UP00169_1	Lmx1b	Lmx1b	16917
UP00186_1_Meis1_2335.1	UP00186_1_Meis1_2335.1	UP00186_1	Meis1	Meis1	17268
UP00233_1_Meox1_2310.2	UP00233_1_Meox1_2310.2	UP00233_1	Meox1	Meox1	17285
UP00226_1_Mrg1_2246.2	UP00226_1_Mrg1_2246.2	UP00226_1	Mrg1	Meis2	17536
UP00210_1_Mrg2_2302.1	UP00210_1_Mrg2_2302.1	UP00210_1	Mrg2	Meis3	17537
UP00234_1_Msx1_3031.2	UP00234_1_Msx1_3031.2	UP00234_1	Msx1	Msx1	17701
UP00156_1_Msx2_3449.1	UP00156_1_Msx2_3449.1	UP00156_1	Msx2	Msx2	17702
UP00171_1_Msx3_3206.1	UP00171_1_Msx3_3206.1	UP00171_1	Msx3	Msx3	17703
UP00220_1_Nkx1-1_3856.3	UP00220_1_Nkx1-1_3856.3	UP00220_1	Nkx1-1	Nkx1-1	672284
UP00139_1_Nkx1-2_3214.1	UP00139_1_Nkx1-2_3214.1	UP00139_1	Nkx1-2	Nkx1-2	20231
UP00231_1_Nkx2-2_2823.1	UP00231_1_Nkx2-2_2823.1	UP00231_1	Nkx2-2	Nkx2-2	18088
UP00190_1_Nkx2-3_3435.1	UP00190_1_Nkx2-3_3435.1	UP00190_1	Nkx2-3	Nkx2-3	18089
UP00107_1_Nkx2-4_3074.1	UP00107_1_Nkx2-4_3074.1	UP00107_1	Nkx2-4	Nkx2-4	228731
UP00249_1_Nkx2-5_3436.1	UP00249_1_Nkx2-5_3436.1	UP00249_1	Nkx2-5	Nkx2-5	18091
UP00147_1_Nkx2-6_3437.1	UP00147_1_Nkx2-6_3437.1	UP00147_1	Nkx2-6	Nkx2-6	18092
UP00119_1_Nkx2-9_3082.1	UP00119_1_Nkx2-9_3082.1	UP00119_1	Nkx2-9	Nkx2-9	18094
UP00017_3_Nkx3-1_2923.2	UP00017_3_Nkx3-1_2923.2	UP00017_3	Nkx3-1	Nkx3-1	18095
UP00200_1_Nkx6-1_2825.1	UP00200_1_Nkx6-1_2825.1	UP00200_1	Nkx6-1	Nkx6-1	18096
UP00200_2_Nkx6-1_2825.2	UP00200_2_Nkx6-1_2825.2	UP00200_2	Nkx6-1	Nkx6-1	18096
UP00238_1_Nkx6-3_3446.1	UP00238_1_Nkx6-3_3446.1	UP00238_1	Nkx6-3	Nkx6-3	74561
UP00216_1_Obox1_3970.2	UP00216_1_Obox1_3970.2	UP00216_1	Obox1	Obox1	71468
UP00239_1_Obox2_3438.2	UP00239_1_Obox2_3438.2	UP00239_1	Obox2	Obox2	246792
UP00160_1_Obox3_3439.1	UP00160_1_Obox3_3439.1	UP00160_1	Obox3	Obox3	246791
UP00208_1_Obox5_2284.1	UP00208_1_Obox5_2284.1	UP00208_1	Obox5	Obox5	252829
UP00208_2_Obox5_3963.2	UP00208_2_Obox5_3963.2	UP00208_2	Obox5	Obox5	252829
UP00109_1_Obox6_3440.2	UP00109_1_Obox6_3440.2	UP00109_1	Obox6	Obox6	252830
UP00178_1_Og2x_3719.1	UP00178_1_Og2x_3719.1	UP00178_1	Og2x	Nobox	18291
UP00237_1_Otp_3496.1	UP00237_1_Otp_3496.1	UP00237_1	Otp	Otp	18420
UP00229_1_Otx1_2325.1	UP00229_1_Otx1_2325.1	UP00229_1	Otx1	Otx1	18423
UP00267_1_Otx2_3441.1	UP00267_1_Otx2_3441.1	UP00267_1	Otx2	Otx2	18424
UP00247_1_Pax4_3989.2	UP00247_1_Pax4_3989.2	UP00247_1	Pax4	Pax4	18506
UP00224_1_Pax6_3838.3	UP00224_1_Pax6_3838.3	UP00224_1	Pax6	Pax6	18508
UP00248_1_Pax7_3783.1	UP00248_1_Pax7_3783.1	UP00248_1	Pax7	Pax7	18509
UP00185_1_Pbx1_3203.1	UP00185_1_Pbx1_3203.1	UP00185_1	Pbx1	Pbx1	18514
UP00221_1_Phox2a_3947.1	UP00221_1_Phox2a_3947.1	UP00221_1	Phox2a	Phox2a	11859
UP00149_1_Phox2b_3948.1	UP00149_1_Phox2b_3948.1	UP00149_1	Phox2b	Phox2b	18935
UP00153_1_Pitx1_2312.1	UP00153_1_Pitx1_2312.1	UP00153_1	Pitx1	Pitx1	18740
UP00125_1_Pitx2_2274.3	UP00125_1_Pitx2_2274.3	UP00125_1	Pitx2	Pitx2	18741
UP00265_1_Pitx3_3497.2	UP00265_1_Pitx3_3497.2	UP00265_1	Pitx3	Pitx3	18742
UP00203_1_Pknox1_2364.2	UP00203_1_Pknox1_2364.2	UP00203_1	Pknox1	Pknox1	18771
UP00205_1_Pknox2_3077.2	UP00205_1_Pknox2_3077.2	UP00205_1	Pknox2	Pknox2	208076
UP00158_1_Pou1f1_3818.1	UP00158_1_Pou1f1_3818.1	UP00158_1	Pou1f1	Pou1f1	18736
UP00254_1_Pou2f1_3081.2	UP00254_1_Pou2f1_3081.2	UP00254_1	Pou2f1	Pou2f1	18986
UP00191_1_Pou2f2_3748.1	UP00191_1_Pou2f2_3748.1	UP00191_1	Pou2f2	Pou2f2	18987
UP00179_1_Pou2f3_3986.2	UP00179_1_Pou2f3_3986.2	UP00179_1	Pou2f3	Pou2f3	18988
UP00129_1_Pou3f1_3819.1	UP00129_1_Pou3f1_3819.1	UP00129_1	Pou3f1	Pou3f1	18991
UP00128_1_Pou3f2_2824.1	UP00128_1_Pou3f2_2824.1	UP00128_1	Pou3f2	Pou3f2	18992
UP00211_1_Pou3f3_3235.2	UP00211_1_Pou3f3_3235.2	UP00211_1	Pou3f3	Pou3f3	18993
UP00105_1_Pou3f4_3773.1	UP00105_1_Pou3f4_3773.1	UP00105_1	Pou3f4	Pou3f4	18994
UP00118_1_Pou4f3_2791.1	UP00118_1_Pou4f3_2791.1	UP00118_1	Pou4f3	Pou4f3	18998
UP00146_1_Pou6f1_1731.2	UP00146_1_Pou6f1_1731.2	UP00146_1	Pou6f1	Pou6f1	19009
UP00146_2_Pou6f1_3733.1	UP00146_2_Pou6f1_3733.1	UP00146_2	Pou6f1	Pou6f1	19009
UP00172_1_Prop1_3949.1	UP00172_1_Prop1_3949.1	UP00172_1	Prop1	Prop1	19127
UP00266_1_Prrx1_3442.1	UP00266_1_Prrx1_3442.1	UP00266_1	Prrx1	Prrx1	18933
UP00136_1_Prrx2_3072.1	UP00136_1_Prrx2_3072.1	UP00136_1	Prrx2	Prrx2	20204
UP00253_1_Rax_3443.1	UP00253_1_Rax_3443.1	UP00253_1	Rax	Rax	19434
UP00193_1_Rhox11_1765.2	UP00193_1_Rhox11_1765.2	UP00193_1	Rhox11	Rhox11	194738
UP00193_2_Rhox11_2205.1	UP00193_2_Rhox11_2205.1	UP00193_2	Rhox11	Rhox11	194738
UP00116_1_Rhox6_4251.1	UP00116_1_Rhox6_4251.1	UP00116_1	Rhox6	Rhox6	19202
UP00257_1_Shox2_2641.2	UP00257_1_Shox2_2641.2	UP00257_1	Shox2	Shox2	20429
UP00192_1_Six1_0935.2	UP00192_1_Six1_0935.2	UP00192_1	Six1	Six1	20471
UP00159_1_Six2_2307.2	UP00159_1_Six2_2307.2	UP00159_1	Six2	Six2	20472
UP00195_1_Six3_1732.2	UP00195_1_Six3_1732.2	UP00195_1	Six3	Six3	20473
UP00199_1_Six4_2860.1	UP00199_1_Six4_2860.1	UP00199_1	Six4	Six4	20474
UP00008_3_Six6_2267.4	UP00008_3_Six6_2267.4	UP00008_3	Six6	Six6	20476
UP00008_4 Six6_2267.5	UP00008_4 Six6_2267.5	UP00008_4	Six6	Six6	20476
UP00089_3_Tcf1_2666.2	UP00089_3_Tcf1_2666.2	UP00089_3	Tcf1	Hnf1a	21405
UP00222_1_Tcf2_0913.2	UP00222_1_Tcf2_0913.2	UP00222_1	Tcf2	Hnf1b	21410
UP00122_1_Tgif1_2342.2	UP00122_1_Tgif1_2342.2	UP00122_1	Tgif1	Tgif1	21815
UP00258_1_Tgif2_3451.1	UP00258_1_Tgif2_3451.1	UP00258_1	Tgif2	Tgif2	228839
UP00165_1_Titf1_1722.2	UP00165_1_Titf1_1722.2	UP00165_1	Titf1	Nkx2-1	21869
UP00244_1_Tlx2_3498.2	UP00244_1_Tlx2_3498.2	UP00244_1	Tlx2	Tlx2	21909
UP00142_1_Uncx4.1_2281.2	UP00142_1_Uncx4.1_2281.2	UP00142_1	Uncx4.1	Uncx	22255
UP00215_1_Vax1_3499.1	UP00215_1_Vax1_3499.1	UP00215_1	Vax1	Vax1	22326
UP00106_1_Vax2_3500.1	UP00106_1_Vax2_3500.1	UP00106_1	Vax2	Vax2	24113
UP00141_1_Vsx1_1728.1	UP00141_1_Vsx1_1728.1	UP00141_1	Vsx1	Vsx1	114889
MA0002.1.RUNX1	MA0002.1.RUNX1	MA0002.1	Runx1	Runx1	12394
MA0002.2.RUNX1	MA0002.2.RUNX1	MA0002.2	Runx1	Runx1	12394
MA0003.1.TFAP2A	MA0003.1.TFAP2A	MA0003.1	Tfap2a	Tfap2a	21418
MA0004.1.Arnt	MA0004.1.Arnt	MA0004.1	Arnt,Arnt2	Arnt	11863
MA0007.1.Ar	MA0007.1.Ar	MA0007.1	Ar	Ar	11835
MA0009.1.T	MA0009.1.T	MA0009.1	T	T	20997
MA0014.1.Pax5	MA0014.1.Pax5	MA0014.1	Pax5	Pax5	18507
MA0017.1.NR2F1	MA0017.1.NR2F1	MA0017.1	Nr2f1	Nr2f1	13865
MA0018.1.CREB1	MA0018.1.CREB1	MA0018.1	Creb1	Creb1	12912
MA0018.2.CREB1	MA0018.2.CREB1	MA0018.2	Creb1	Creb1	12912
MA0024.1.E2F1	MA0024.1.E2F1	MA0024.1	E2f1	E2f1	13555
MA0025.1.NFIL3	MA0025.1.NFIL3	MA0025.1	Nfil3	Nfil3	18030
MA0027.1.En1	MA0027.1.En1	MA0027.1	En1	En1	13798
MA0028.1.ELK1	MA0028.1.ELK1	MA0028.1	Elk1	Elk1	13712
MA0029.1.Evi1	MA0029.1.Evi1	MA0029.1	Evi1	Mecom	14013
MA0030.1.FOXF2	MA0030.1.FOXF2	MA0030.1	Foxf2	Foxf2	14238
MA0031.1.FOXD1	MA0031.1.FOXD1	MA0031.1	Foxd1	Foxd1	15229
MA0032.1.FOXC1	MA0032.1.FOXC1	MA0032.1	Foxc1	Foxc1	17300
MA0033.1.FOXL1	MA0033.1.FOXL1	MA0033.1	Foxl1	Foxl1	14241
MA0035.1.Gata1	MA0035.1.Gata1	MA0035.1	Gata1	Gata1	14460
MA0035.2.Gata1	MA0035.2.Gata1	MA0035.2	Gata1	Gata1	14460
MA0036.1.GATA2	MA0036.1.GATA2	MA0036.1	Gata2	Gata2	14461
MA0037.1.GATA3	MA0037.1.GATA3	MA0037.1	Gata3	Gata3	14462
MA0038.1.Gfi	MA0038.1.Gfi	MA0038.1	Gfi	Gfi1	14581
MA0039.1.Klf4	MA0039.1.Klf4	MA0039.1	Klf4	Klf4	16600
MA0039.2.Klf4	MA0039.2.Klf4	MA0039.2	Klf4	Klf4	16600
MA0040.1.Foxq1	MA0040.1.Foxq1	MA0040.1	Foxq1	Foxq1	15220
MA0041.1.Foxd3	MA0041.1.Foxd3	MA0041.1	Foxd3	Foxd3	15221
MA0042.1.FOXI1	MA0042.1.FOXI1	MA0042.1	Foxi1	Foxi1	14233
MA0043.1.HLF	MA0043.1.HLF	MA0043.1	Hlf	Hlf	217082
MA0046.1.HNF1A	MA0046.1.HNF1A	MA0046.1	Hnf1a	Hnf1a	21405
MA0047.1.Foxa2	MA0047.1.Foxa2	MA0047.1	Foxa2	Foxa2	15376
MA0047.2.Foxa2	MA0047.2.Foxa2	MA0047.2	Foxa2	Foxa2	15376
MA0048.1.NHLH1	MA0048.1.NHLH1	MA0048.1	Nhlh1	Nhlh1	18071
MA0050.1.IRF1	MA0050.1.IRF1	MA0050.1	Irf1	Irf1	16362
MA0051.1.IRF2	MA0051.1.IRF2	MA0051.1	Irf2	Irf2	16363
MA0052.1.MEF2A	MA0052.1.MEF2A	MA0052.1	Mef2a	Mef2a	17258
MA0055.1.Myf	MA0055.1.Myf	MA0055.1	Myf	Myf5	17877
MA0056.1.MZF1_1-4	MA0056.1.MZF1_1-4	MA0056.1	Mzf1_1-4	Mzf1	109889
MA0057.1.MZF1_5-13	MA0057.1.MZF1_5-13	MA0057.1	Mzf1_5-13	Mzf1	109889
MA0058.1.MAX	MA0058.1.MAX	MA0058.1	Max	Max	17187
MA0060.1.NFYA	MA0060.1.NFYA	MA0060.1	Nfya	Nfya	18044
MA0061.1.NF-kappaB	MA0061.1.NF-kappaB	MA0061.1	Nf-kappab	Nfkb1	18033
MA0062.1.GABPA	MA0062.1.GABPA	MA0062.1	Gabpa	Gabpa	14390
MA0062.2.GABPA	MA0062.2.GABPA	MA0062.2	Gabpa	Gabpa	14390
MA0063.1.Nkx2-5	MA0063.1.Nkx2-5	MA0063.1	Nkx2-5	Nkx2-5	18091
MA0066.1.PPARG	MA0066.1.PPARG	MA0066.1	Pparg	Pparg	19016
MA0067.1.Pax2	MA0067.1.Pax2	MA0067.1	Pax2	Pax2	18504
MA0068.1.Pax4	MA0068.1.Pax4	MA0068.1	Pax4	Pax4	18506
MA0069.1.Pax6	MA0069.1.Pax6	MA0069.1	Pax6	Pax6	18508
MA0070.1.PBX1	MA0070.1.PBX1	MA0070.1	Pbx1	Pbx1	18514
MA0071.1.RORA_1	MA0071.1.RORA_1	MA0071.1	Rora_1	Rora	19883
MA0072.1.RORA_2	MA0072.1.RORA_2	MA0072.1	Rora_2	Rora	19883
MA0073.1.RREB1	MA0073.1.RREB1	MA0073.1	Rreb1	Rreb1	68750
MA0075.1.Prrx2	MA0075.1.Prrx2	MA0075.1	Prrx2	Prrx2	20204
MA0076.1.ELK4	MA0076.1.ELK4	MA0076.1	Elk4	Elk4	13714
MA0077.1.SOX9	MA0077.1.SOX9	MA0077.1	Sox9	Sox9	20682
MA0078.1.Sox17	MA0078.1.Sox17	MA0078.1	Sox17	Sox17	20671
MA0079.1.SP1	MA0079.1.SP1	MA0079.1	Sp1	Sp1	20683
MA0079.2.SP1	MA0079.2.SP1	MA0079.2	Sp1	Sp1	20683
MA0080.1.SPI1	MA0080.1.SPI1	MA0080.1	Spi1	Sfpi1	20375
MA0080.2.SPI1	MA0080.2.SPI1	MA0080.2	Spi1	Sfpi1	20375
MA0081.1.SPIB	MA0081.1.SPIB	MA0081.1	Spib	Spib	272382
MA0083.1.SRF	MA0083.1.SRF	MA0083.1	Srf	Srf	20807
MA0084.1.SRY	MA0084.1.SRY	MA0084.1	Sry	Sry	21674
MA0087.1.Sox5	MA0087.1.Sox5	MA0087.1	Sox5	Sox5	20678
MA0088.1.znf143	MA0088.1.znf143	MA0088.1	Znf143	Zfp143	20841
MA0090.1.TEAD1	MA0090.1.TEAD1	MA0090.1	Tead1	Tead1	21676
MA0093.1.USF1	MA0093.1.USF1	MA0093.1	Usf1	Usf1	22278
MA0095.1.YY1	MA0095.1.YY1	MA0095.1	Yy1	Yy1	22632
MA0098.1.ETS1	MA0098.1.ETS1	MA0098.1	Ets1	Ets1	23871
MA0099.1.Fos	MA0099.1.Fos	MA0099.1	Fos	Fos	14281
MA0099.2.AP1	MA0099.2.AP1	MA0099.2	Ap1	Jun	16476
MA0100.1.Myb	MA0100.1.Myb	MA0100.1	Myb	Myb	Mybl2	17863
MA0101.1.REL	MA0101.1.REL	MA0101.1	Rel	Rel	19696
MA0102.1.Cebpa	MA0102.1.Cebpa	MA0102.1	Cebpa	Cebpa	12606
MA0102.2.CEBPA	MA0102.2.CEBPA	MA0102.2	Cebpa	Cebpa	12606
MA0103.1.ZEB1	MA0103.1.ZEB1	MA0103.1	Zeb1	Zeb1	21417
MA0104.1.Mycn	MA0104.1.Mycn	MA0104.1	Mycn	Mycn	18109
MA0104.2.Mycn	MA0104.2.Mycn	MA0104.2	Mycn	Mycn	18109
MA0105.1.NFKB1	MA0105.1.NFKB1	MA0105.1	Nfkb1	Nfkb1	18033
MA0106.1.TP53	MA0106.1.TP53	MA0106.1	Tp53	Trp53	22059
MA0107.1.RELA	MA0107.1.RELA	MA0107.1	Rela	Rela	19697
MA0108.1.TBP	MA0108.1.TBP	MA0108.1	Tbp	Tbp	21374
MA0108.2.TBP	MA0108.2.TBP	MA0108.2	Tbp	Tbp	21374
MA0109.1.Hltf	MA0109.1.Hltf	MA0109.1	Hltf	Hltf	20585
MA0111.1.Spz1	MA0111.1.Spz1	MA0111.1	Spz1	Spz1	79401
MA0112.1.ESR1	MA0112.1.ESR1	MA0112.1	Esr1	Esr1	13982
MA0112.2.ESR1	MA0112.2.ESR1	MA0112.2	Esr1	Esr1	13982
MA0113.1.NR3C1	MA0113.1.NR3C1	MA0113.1	Nr3c1	Nr3c1	14815
MA0114.1.HNF4A	MA0114.1.HNF4A	MA0114.1	Hnf4a	Hnf4a	15378
MA0116.1.Zfp423	MA0116.1.Zfp423	MA0116.1	Zfp423	Zfp423	94187
MA0117.1.Mafb	MA0117.1.Mafb	MA0117.1	Mafb	Mafb	16658
MA0122.1.Nkx3-2	MA0122.1.Nkx3-2	MA0122.1	Nkx3-2	Nkx3-2	12020
MA0124.1.NKX3-1	MA0124.1.NKX3-1	MA0124.1	Nkx3-1	Nkx3-1	18095
MA0125.1.Nobox	MA0125.1.Nobox	MA0125.1	Nobox	Nobox	18291
MA0130.1.ZNF354C	MA0130.1.ZNF354C	MA0130.1	Znf354c	Zfp354c	30944
MA0131.1.MIZF	MA0131.1.MIZF	MA0131.1	Mizf	Hinfp	102423
MA0132.1.Pdx1	MA0132.1.Pdx1	MA0132.1	Pdx1	Pdx1	18609
MA0133.1.BRCA1	MA0133.1.BRCA1	MA0133.1	Brca1	Brca1	12189
MA0135.1.Lhx3	MA0135.1.Lhx3	MA0135.1	Lhx3	Lhx3	16871
MA0136.1.ELF5	MA0136.1.ELF5	MA0136.1	Elf5	Elf5	13711
MA0137.1.STAT1	MA0137.1.STAT1	MA0137.1	Stat1	Stat1	20846
MA0137.2.STAT1	MA0137.2.STAT1	MA0137.2	Stat1	Stat1	20846
MA0138.1.REST	MA0138.1.REST	MA0138.1	Rest	Rest	19712
MA0138.2.REST	MA0138.2.REST	MA0138.2	Rest	Rest	19712
MA0139.1.CTCF	MA0139.1.CTCF	MA0139.1	Ctcf	Ctcf	13018
MA0141.1.Esrrb	MA0141.1.Esrrb	MA0141.1	Esrrb	Esrrb	26380
MA0142.1.Pou5f1	MA0142.1.Pou5f1	MA0142.1	Pou5f1	Pou5f1	18999
MA0143.1.Sox2	MA0143.1.Sox2	MA0143.1	Sox2	Sox2	20674
MA0144.1.Stat3	MA0144.1.Stat3	MA0144.1	Stat3	Stat3	20848
MA0145.1.Tcfcp2l1	MA0145.1.Tcfcp2l1	MA0145.1	Tcfcp2l1	Tfcp2l1	81879
MA0146.1.Zfx	MA0146.1.Zfx	MA0146.1	Zfx	Zfx	22764
MA0147.1.Myc	MA0147.1.Myc	MA0147.1	Myc	Myc	17869
MA0148.1.FOXA1	MA0148.1.FOXA1	MA0148.1	Foxa1	Foxa1	15375
MA0149.1.EWSR1-FLI1	MA0149.1.EWSR1-FLI1	MA0149.1	Ewsr1-fli1	Ewsr1-Flt1	NA
MA0150.1.NFE2L2	MA0150.1.NFE2L2	MA0150.1	Nfe2l2	Nfe2l2	18024
MA0151.1.ARID3A	MA0151.1.ARID3A	MA0151.1	Arid3a	Arid3a	13496
MA0152.1.NFATC2	MA0152.1.NFATC2	MA0152.1	Nfatc2	Nfatc2	18019
MA0153.1.HNF1B	MA0153.1.HNF1B	MA0153.1	Hnf1b	Hnf1b	21410
MA0154.1.EBF1	MA0154.1.EBF1	MA0154.1	Ebf1	Ebf1	13591
MA0155.1.INSM1	MA0155.1.INSM1	MA0155.1	Insm1	Insm1	53626
MA0156.1.FEV	MA0156.1.FEV	MA0156.1	Fev	Fev	260298
MA0157.1.FOXO3	MA0157.1.FOXO3	MA0157.1	Foxo3	Foxo3	56484
MA0158.1.HOXA5	MA0158.1.HOXA5	MA0158.1	Hoxa5	Hoxa5	15402
MA0160.1.NR4A2	MA0160.1.NR4A2	MA0160.1	Nr4a2	Nr4a2	18227
MA0161.1.NFIC	MA0161.1.NFIC	MA0161.1	Nfic	Nfic	18029
MA0162.1.Egr1	MA0162.1.Egr1	MA0162.1	Egr1	Egr1	Egr2	13653
MA0163.1.PLAG1	MA0163.1.PLAG1	MA0163.1	Plag1	Plag1	56711
MA0164.1.Nr2e3	MA0164.1.Nr2e3	MA0164.1	Nr2e3	Nr2e3	23958
MA0258.1.ESR2	MA0258.1.ESR2	MA0258.1	Esr2	Esr2	13983
MA0442.1.SOX10	MA0442.1.SOX10	MA0442.1	Sox10	Sox10	20665
IRF8_IECS_HAND_KANO	IRF8	IRF8	Irf8	Irf8	15900
IRF8_AICS	IRF8	IRF8	Irf8	Irf8	15900
IRF8_ISRE_KANNO	IRF8	IRF8	Irf8	Irf8	15900
E2A-Homer	Tcf3	Tcf3	Tcf3	Tcf3	-
MA0259.1.HIF1A::ARNT	Hif1a	Arnt	Arntl -
